Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.012,"[O29.012] Aspiration pneumonitis due to anesthesia during pregnancy, second trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.013,"[O29.013] Aspiration pneumonitis due to anesthesia during pregnancy, third trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.019,"[O29.019] Aspiration pneumonitis due to anesthesia during pregnancy, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.021,"[O29.021] Pressure collapse of lung due to anesthesia during pregnancy, first trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.022,"[O29.022] Pressure collapse of lung due to anesthesia during pregnancy, second trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.023,"[O29.023] Pressure collapse of lung due to anesthesia during pregnancy, third trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.029,"[O29.029] Pressure collapse of lung due to anesthesia during pregnancy, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.091,"[O29.091] Other pulmonary complications of anesthesia during pregnancy, first trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.092,"[O29.092] Other pulmonary complications of anesthesia during pregnancy, second trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.093,"[O29.093] Other pulmonary complications of anesthesia during pregnancy, third trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.099,"[O29.099] Other pulmonary complications of anesthesia during pregnancy, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.111,"[O29.111] Cardiac arrest due to anesthesia during pregnancy, first trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.112,"[O29.112] Cardiac arrest due to anesthesia during pregnancy, second trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.113,"[O29.113] Cardiac arrest due to anesthesia during pregnancy, third trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.119,"[O29.119] Cardiac arrest due to anesthesia during pregnancy, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.121,"[O29.121] Cardiac failure due to anesthesia during pregnancy, first trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.122,"[O29.122] Cardiac failure due to anesthesia during pregnancy, second trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.123,"[O29.123] Cardiac failure due to anesthesia during pregnancy, third trimester",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O29.129,"[O29.129] Cardiac failure due to anesthesia during pregnancy, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90
